plc_address,zero_based_address,register_1,register_2,interpretation,decoded_value
42220,2219,544,,Int16 / 10,54.4
42220,2219,544,,Int16 / 100,5.44
42220,2219,544,,Int16 / 1000,0.544
42220,2219,544,,UInt16,544.0
42220,2219,544,,UInt16 / 10,54.4
42220,2219,544,,UInt16 / 100,5.44
42220,2219,544,,UInt16 / 1000,0.544
42301,2300,512,,Int16,512.0
42301,2300,512,,Int16 / 10,51.2
42301,2300,512,,Int16 / 100,5.12
42301,2300,512,,Int16 / 1000,0.512
42301,2300,512,,UInt16,512.0
42301,2300,512,,UInt16 / 10,51.2
42301,2300,512,,UInt16 / 100,5.12
42301,2300,512,,UInt16 / 1000,0.512
42303,2302,63233,,Int16 / 10,-230.3
42303,2302,63233,,Int16 / 100,-23.03
42303,2302,63233,,Int16 / 1000,-2.303
42303,2302,63233,,UInt16 / 10,6323.3
42303,2302,63233,,UInt16 / 100,632.33
